ciIndication,indication_name
442,Hyperoxia
1773,Parasomnia
2356,Glossitis
2018,Chediak Higashi syndrome
3529,X linked lymphoproliferative disease
1839,Aortitis
2959,Cholesteatoma
290,Retrovirus infection
4724,Granuloma
1992,Lymphocytopenia
3725,Tracheobronchomalacia
2260,von Gierkes disease
2138,Odynophagia
3424,Hyperlipoproteinemia type I
2013,Cranial nerve disorder
2348,Esthesioneuroblastoma
2224,Anhidrosis
3785,Orbital inflammatory disease
1908,Cardiac neurosis
3512,Lung disease pulmonary hypertension
2960,Keratoderma
3469,Protein C deficiency
3782,Factor II deficiency
2698,Abnormal labor
660,Mite infection
3596,Keratin disease
3917,Bone infection
2933,Mandible disease
3589,Extrinsic allergic alveolitis
2086,Ecthyma
5424,Gilbert syndrome
2740,Hypernatremia
1550,Wolff-Parkinson-White syndrome
2777,Kleine-Levin syndrome
1637,Brain hypoxia
1842,Dressler syndrome
1892,Lutembacher syndrome
3193,Food poisoning
2156,Protein losing enteropathy
3826,Bone marrow depression
3611,Immediate hypersensitivity
2431,Encephalomyelitis
2062,Achlorhydria
1782,Coronavirus infection
3806,Bassen Kornsweig syndrome
1854,Vascular disease by process
1511,Insulinoma
3561,Nesidioblastosis
3070,Multiple hamartoma sydrome
2861,Osteophytosis
2258,Sly syndrome
2721,Fucosidosis
2838,Niemann Pick disease type B
3523,Lysosomal acid lipase deficiency
2253,Hurler-Scheie syndrome
3287,Pelizaeus Merzbacher disease
5923,GM1 gangliosidosis
467,Thrombocytosis
2056,Santavuori-Haltia disease
2695,Dysphasia
3279,Renal fibrosis
2215,Cholecystalgia
3420,Berylliosis
3707,Alkaptonuria
2286,Cystinuria
578,Gastrointestinal inflammation
1410,Clostridiaceae infection
2227,Salpingitis
1434,Citrobacter infection
1437,Morganella infection
1438,Proteus infection
1439,Providencia infection
1440,Serratia infection
1493,Shigella flexneri infection
1494,Shigella sonnei infection
1495,Shigella boydii infection
1497,Campylobacter jejuni infection
1797,Epididymo-orchitis
3749,Central nervous system demyelinating disease
6833,Chronic myelomonocytic leukemia
6354,Protein metabolism disorder
1306,Aspergillus flavus infection
1486,Fungal respiratory tract infection
1788,Balanitis
1322,Blastomyces infection
1326,Epidermophyton infection
1327,Microsporum infection
1805,Fungal meningitis
334,Trichophyton infection
5921,Lipid storage diseases
3261,Haemophilus parainfluenzae infection
3305,Peptostreptococcus infection
3845,Lymphangitis
2290,Glycosuria
3508,Stenotrophomonas maltophilia infection
2764,Hypergastrinemia
2783,Lassa fever
2099,Gastralgia
3314,Prevotella infection
2495,Mastoiditis
2119,Intestinal atony
1307,Aspergillus fumigatus infection
3765,Viral eye infection
3100,Li Fraumeni syndrome
1619,Moyamoya disease
115,Entamoeba histolytica infection
3262,Serratia marcescens infection
3269,Enterobacter cloacae infection
3321,Staphylococcus saprophyticus infection
3387,Trypanosoma brucei infection
3915,Lung failure
669,Musculoskeletal system inflammation
2496,Scleral disease
2755,Herpangina
1382,Rhizopus infection
2561,Infectious keratoconjunctivitis
3334,Streptococcus anginosus infection
1070,Papular skin disease
1315,Trichocomaceae infection
2183,Williams-Beuren syndrome
3194,Delusion
2873,Panophthalmitis
3253,Bifidobacterium infection
3819,Bartholinitis
719,Sexual deviation
3392,Lipotoxic cardiomyopathy
1862,Liddle syndrome
3277,Staphylococcus epidermidis infection
2552,Autoimmune nervous system disease
4600,Iodine deficiency
2765,Hyperglucagonemia
3474,Ureteral colic
3009,Gastrointestinal investigative surgical procedure
3901,Norovirus infection
3858,Autoimmune encephalomyelitis
3402,Placental abruption
1881,Pseudotumor cerebri
3021,Tissue transplantation
3365,Multiple growth abnormalities
3110,Cardiovascular injury
2415,Craniofacial development disorder
96,Dermatophagoides farinae infection
1286,Western equine encephalitis virus infection
3169,Hiatus hernia
3464,Metastatic genitourinary cancer
3763,Vascular eye disease
2693,Sensory disorder
2058,Spielmeyer-Vogt disease
3427,Hyperlipoproteinemia type III
3886,Lung abscess
612,Genitourinary tract inflammation
3014,Essential fatty acid deficiency
3731,Genitourinary hemorrhage
2767,Hypermenorrhea
3036,Ross River virus infection
2572,Vitamin K deficiency
3404,Optic disc pit
1931,Hebephrenic schizophrenia
2722,Fructose metabolism disorder
3597,Dyskeratosis
1759,Angiocentric lymphoma
2852,Orchialgia
3553,Organ resection
1097,Hypothalamus disease
3697,Anticoagulant overdose
1390,Corynebacterium infection
658,Micrococcaceae infection
1614,Sturge-Weber syndrome
2226,Fallopian tube disease
3429,Hyperlipoproteinemia type V
2046,Trisomy
1404,Listeria infection
228,Neisseria infection
1332,Cladophialophora infection
1333,Exophiala infection
1381,Rhizomucor infection
1383,Absidia infection
66,Cestode infection
3548,Serum sickness
2977,Aseptic meningitis
1028,Female genital tract inflammation
3559,Molybdenum cofactor deficiency
1666,Tetany
2607,Beriberi
766,Large intestine tumor
3268,Bacteroides thetaiotaomicron infection
3303,viridans group Streptococcus infection
6329,Hordeolum
2684,Osteosclerosis
724,Antisocial personality disorder
2916,Sneezing
2958,Acrodermatitis
2660,Pyelitis
3375,Brain development disorder
4725,Eosinophilic granuloma
601,Erythrocyte disorder
1623,Capillary leak syndrome
3526,Carnitine palmitoyltransferase deficiency
1675,Neurogenic diabetes insipidus
3307,Bacteroides uniformis infection
3335,Streptococcus constellatus infection
3337,Bacteroides vulgatus infection
3338,Streptococcus intermedius infection
3349,Bacteroides caccae infection
2534,Laron syndrome
1415,Bartonella infection
200,Listeria monocytogenes infection
2906,Rocky mountain spotted fever
293,Rickettsia infection
3340,Ureaplasma urealyticum infection
3342,Borrelia recurrentis infection
3343,Campylobacter fetus infection
3345,Actinomyces israelii infection
2972,Metapneumovirus infection
2590,Pupil disorder
2830,Vagus nerve disorder
3631,Metabolic brain disease
3997,Blastoma
3001,Adrenomyeloneuropathy
2822,Olfactory nerve disorder
2922,Spondylitis
4967,Bone surgery
2103,Hemangiopericytoma
1460,Francisella tularensis infection
3393,Cutaneous vasculitis
2787,Adipose tissue neoplasm
3784,Choline deficiency
3478,Diabetic eye disease
1610,Angiomatosis
2888,Hepatic porphyria
3799,Air embolism
2929,Syringomyelia
2358,Glossopyrosis
2364,Stomatodynia
2692,Dysomia
1509,Pancreatic intraductal papillary-mucinous tumor
6832,Acral erythema
2720,Fibroadenoma
3042,Occupational asthma
3867,Cystic hygroma
5402,Spherocytosis
3311,Porphyromonas infection
3582,Lamellar ichthyosis
2713,Enophthalmos
2396,Bone development disorder
2905,Rift valley fever
3124,Spastic paraplegia
3226,Congenital autonomic control failure
274,Pox virus infection
745,Infarction
2205,Hemoperitoneum
3873,Corneal pain
3910,Arterial insufficiency
2252,Scheie syndrome
2599,Asbestosis
2634,Coloboma
3489,Anophthalmia
3828,Microphthalmia
2352,Lymphoepithelioma
2729,Basal ganglia disease
48,Borrelia burgdorferi infection
662,Monogenic disorder
2268,Fanconi-Bickel disease
5926,Wolman disease
5930,Mucolipidosis type II
2654,Myotonic dystrophy type 2
1720,Cryptorchidism
528,Actinomycetes infection
3298,Heart neoplasm
2112,Hyperkeratosis
2349,Nasal injury
1910,Pica
2800,Labyrinthitis
720,Sialadenitis
2057,Jansky-Bielschowsky disease
3602,Familial cold autoinflammatory syndrome
2798,Melkersson-Rosenthal syndrome
523,Abnormal urine composition
2917,Sleep arousal disorder
3535,X linked hypohidrotic ectodermal dysplasia
2098,Gardner syndrome
2885,Pierre-Robin syndrome
3473,Colic
357,Diabetic macroangiopathy
1569,Pulmonary valve disease
2279,Hemoglobinuria
2287,Myoglobinuria
4339,Plasma cell dyscrasia
3254,Stage I melanoma
1932,Catatonic schizophrenia
1737,Lymphoma leukemia
3706,Adjustment disorder
1399,Bacilli infection
3215,Sucrase isomaltase deficiency
641,Lens disorder
3909,Vascular insufficiency
3750,Hereditary inclusion body myositis
2451,Somatostatinoma
2588,Chondroma
1144,Storage disease
2774,Hypoprolactinemia
3595,Leptin deficiency
1513,Vipoma
1514,Glucagonoma
3564,Multiple endocrine neoplasia type 2
3531,Pigmented villonodular synovitis
3237,Achromatopsia
2629,Chylothorax
2770,Asplenia
567,Collagen disease
4059,Myxoma
1890,Cerebral arteriosclerosis
3408,Paratuberculosis
1687,Myxedema
2685,Albers Schoenberg disease
3685,Charcot Marie Tooth type 2 disease
1116,Skin lymphoma
2665,Diplegia
1928,Narcissistic personality disorder
6466,Hypoinsulinemia
1751,High grade B-cell lymphoma
2140,Onycholysis
1702,Androblastoma
2137,Nutcracker esophagus
3238,Retinoschisis
4777,Q fever
1290,Filovirus infection
1712,Sex differentiation disorder
1287,Venezuelan equine encephalitis virus infection
3761,Pancreas injury
3729,Cutaneous mastocytosis
1704,Brenner tumor
3656,Kidney infection
2145,Paronychia
3502,Crimean Congo fever virus infection
1518,Ileum disease
6473,Female genital tract pain
2397,Musculoskeletal development disorder
3069,Hamartoma
3567,Lipomatosis
3647,Adiposis dolorosa
1641,Spinal cord vascular disease
1616,Fibromuscular dyplasia
1288,Eastern equine encephalitis virus infection
4727,Hemophagocytic lymphohistiocytosis
3875,Skin transplantation
2924,Spondylolysis
2433,Neurological symptom
2188,Esophageal motor disorder
615,Gonadal disease
3125,Primary lateral sclerosis
545,Atrophic skin disease
497,Hair disease
681,Non-epithelial tumor
6927,Zika virus infection
2732,Magnesium metabolism disorder
2084,Dyschezia
321,Taenia infection
539,Arachnid infection
3654,Cervix infection
3574,Gangrene
1676,Wolfram syndrome
3480,Rectal fistula
2956,Whipple disease
3876,Skin transplant rejection
2276,Ameloblastoma
2606,Thiamine deficiency
2132,Microadenoma
3049,Hypocapnia
1642,Heart block
503,Combined immunodeficiency
5929,Mucolipidosis
2104,Hemangiosarcoma
2542,Mitochondrial encephalomyopathy
2673,Dysarthria
5887,Barth syndrome
3852,Carbamoyl phosphate synthase I deficiency
3470,Protein S deficiency
3640,Oguchi disease
2918,Night terrors
2919,Somnambulism
1594,Amniotic fluid embolism
762,Cranial nerve tumor
2662,Dactylitis
3041,Acne conglobata
108,Ectoparasite infection
2744,Hyperchloremia
3570,Teratospermia
3358,Usher syndrome I
2027,Familial LCAT deficiency
3687,Charcot Marie Tooth type 4 disease
3293,Vaginal tumor
1613,Klippel Trenaunay Weber syndrome
1533,Arteritis
2510,Immunoglobulin A deficiency
3087,Hendra virus infection
3389,Vitelliform macular dystrophy
2601,Azotemia
1657,Phyllodes tumor
1878,Ebstein anomaly
2666,Diplopia
2482,Speech disorder
2284,Aminoaciduria
2221,Melena
1595,Cardiovascular infection
703,Platyhelminth infection
729,Spirochete infection
3196,Ketoacidosis
3359,Usher syndrome II
3360,Usher syndrome III
2609,Vitamin B6 deficiency
3625,Nijmegen breakage syndrome
1444,Coxiella infection
3232,Monkeypox virus infection
2332,Pendred syndrome
3051,Mucocutaneous candidiasis
3157,Vitreitis
2401,Brutons disease
571,Connective tissue disease affecting the skin
2202,Kernicterus
495,Sebaceous gland disease
3688,Charcot Marie Tooth type X disease
2351,Nasal septum perforation
2646,Conradi-Hunermann syndrome
5924,GM2 gangliosidosis
2633,Ocular development disorder
2771,Hypertrichosis
3871,Retinal edema
3317,Klebsiella oxytoca infection
2491,Spinal curvature
6855,Coagulation factor X deficiency
3411,Renal tubule disease
1545,Bundle-branch block
4560,Actinic keratosis
2263,Andersen disease
3890,Oral allergy syndrome
6470,Urinary tract pain
2280,Abnormal urine volume
2142,Papulosis
3528,Carnitine palmitoyltransferase 2 deficiency
3618,Cone dystrophy
687,Ocular neoplasm
490,DNA virus infection
3695,Digoxin overdose
1721,Orchitis
3344,Bartonella bacilliformis infection
2909,Mucinosis
466,Vaccinia virus infection
2575,Ageusia
2115,Hypohidrosis
1266,Progestogen deficiency
1694,Kallman syndrome
3079,Musculoskeletal infection
2246,Gauchers disease type II
1838,Aortic arch anomaly
2819,Myxosarcoma
2295,Maple syrup urine disease
2645,Chondrodysplasia punctata
2461,Communication disorder
3566,Multiple endocrine neoplasia type 2b
2406,Melorheostosis
736,Unclassified virus infection
5442,Menkes syndrome
1880,Morquio disease
3994,Benign nervous system neoplasm
2899,Refsum disease
1572,Tricuspid valve disease
2191,Biliary tract inflammation
3152,Adenoiditis
3899,Pulmonary eosinophilia
166,Human T cell leukemia virus infection
2073,Bulla
2035,Goodpasture syndrome
