cortellis_condition,icd9,icd9_category,icd9_sub_chapter,icd9_chapter,malignant_not_specified
conduct disorder,312,"Disturbance of conduct, not elsewhere classified","Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Mental Disorders,0
attention deficit hyperactivity disorder,314,Hyperkinetic syndrome of childhood,"Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Mental Disorders,0
hyperactivity,314,Hyperkinetic syndrome of childhood,"Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Mental Disorders,0
attention deficit-disruptive behaviour disorder,314,Hyperkinetic syndrome of childhood,"Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Mental Disorders,0
dyslexia,315,Specific delays in development,"Neurotic Disorders, Personality Disorders, And Other Nonpsychotic Mental Disorders",Mental Disorders,0
mental deficiency,318,Other specified intellectual disabilities,Intellectual Disabilities,Mental Disorders,0
meningitis,320,Bacterial meningitis,Inflammatory Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
nervous system inflammation,320,Bacterial meningitis,Inflammatory Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
bacterial cns infection,320,Bacterial meningitis,Inflammatory Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
bacterial meningitis,320,Bacterial meningitis,Inflammatory Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
fungal meningitis,321,Meningitis due to other organisms,Inflammatory Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
mumps virus infection,322,Meningitis of unspecified cause,Inflammatory Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
encephalitis,323,"Encephalitis, myelitis, and encephalomyelitis",Inflammatory Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
allergic encephalitis,323,"Encephalitis, myelitis, and encephalomyelitis",Inflammatory Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
viral encephalitis,323,"Encephalitis, myelitis, and encephalomyelitis",Inflammatory Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
myelitis,323,"Encephalitis, myelitis, and encephalomyelitis",Inflammatory Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
hendra virus infection,323,"Encephalitis, myelitis, and encephalomyelitis",Inflammatory Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
autoimmune encephalomyelitis,323,"Encephalitis, myelitis, and encephalomyelitis",Inflammatory Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
sleep disorder,327,Organic sleep disorders,Organic Sleep Disorders,Diseases Of The Nervous System And Sense Organs,0
circadian rhythm sleep disorder,327,Organic sleep disorders,Organic Sleep Disorders,Diseases Of The Nervous System And Sense Organs,0
obstructive sleep apnea,327,Organic sleep disorders,Organic Sleep Disorders,Diseases Of The Nervous System And Sense Organs,0
canavan disease,330,Cerebral degenerations usually manifest in childhood,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
santavuori-haltia disease,330,Cerebral degenerations usually manifest in childhood,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
jansky-bielschowsky disease,330,Cerebral degenerations usually manifest in childhood,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
spielmeyer-vogt disease,330,Cerebral degenerations usually manifest in childhood,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
batten disease,330,Cerebral degenerations usually manifest in childhood,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
metachromatic leukodystrophy,330,Cerebral degenerations usually manifest in childhood,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
globoid cell leukodystrophy,330,Cerebral degenerations usually manifest in childhood,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
sandhoff disease,330,Cerebral degenerations usually manifest in childhood,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
rett syndrome,330,Cerebral degenerations usually manifest in childhood,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
pelizaeus merzbacher disease,330,Cerebral degenerations usually manifest in childhood,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
leigh disease,330,Cerebral degenerations usually manifest in childhood,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
alzheimers disease,331,Other cerebral degenerations,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
cognitive disorder,331,Other cerebral degenerations,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
brain disease,331,Other cerebral degenerations,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
hydrocephalus,331,Other cerebral degenerations,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
frontotemporal dementia,331,Other cerebral degenerations,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
lewy body dementia,331,Other cerebral degenerations,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
mild cognitive impairment,331,Other cerebral degenerations,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
parkinsons disease dementia,331,Other cerebral degenerations,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
neoplastic meningitis,332,Parkinson's disease,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
paralysis,332,Parkinson's disease,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
parkinsons disease,332,Parkinson's disease,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
parkinsonism,332,Parkinson's disease,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
huntingtons chorea,333,Other extrapyramidal disease and abnormal movement disorders,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
tardive dyskinesia,333,Other extrapyramidal disease and abnormal movement disorders,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
extrapyramidal syndrome,333,Other extrapyramidal disease and abnormal movement disorders,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
cervical dystonia,333,Other extrapyramidal disease and abnormal movement disorders,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
dystonia,333,Other extrapyramidal disease and abnormal movement disorders,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
tremor,333,Other extrapyramidal disease and abnormal movement disorders,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
restless legs syndrome,333,Other extrapyramidal disease and abnormal movement disorders,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
shy drager syndrome,333,Other extrapyramidal disease and abnormal movement disorders,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
akathesia,333,Other extrapyramidal disease and abnormal movement disorders,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
progressive supranuclear palsy,333,Other extrapyramidal disease and abnormal movement disorders,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
blepharospasm,333,Other extrapyramidal disease and abnormal movement disorders,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
stiff person syndrome,333,Other extrapyramidal disease and abnormal movement disorders,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
hallervorden-spatz syndrome,333,Other extrapyramidal disease and abnormal movement disorders,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
myoclonus,333,Other extrapyramidal disease and abnormal movement disorders,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
multiple system atrophy,333,Other extrapyramidal disease and abnormal movement disorders,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
essential tremor,333,Other extrapyramidal disease and abnormal movement disorders,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
ataxia,334,Spinocerebellar disease,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
ataxia telangiectasia,334,Spinocerebellar disease,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
spinocerebellar ataxia,334,Spinocerebellar disease,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
friedreich ataxia,334,Spinocerebellar disease,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
spastic paraplegia,334,Spinocerebellar disease,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
spinocerebellar degenerations,334,Spinocerebellar disease,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
motor neurone disease,335,Anterior horn cell disease,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
spinal and bulbar muscular atrophy,335,Anterior horn cell disease,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
spinal disease,336,Other diseases of spinal cord,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
spinal cord disease,336,Other diseases of spinal cord,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
peripheral neuropathy,337,Disorders of the autonomic nervous system,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
type i complex regional pain syndrome,337,Disorders of the autonomic nervous system,Hereditary And Degenerative Diseases Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
cancer pain,338,"Pain, not elsewhere classified",Pain,Diseases Of The Nervous System And Sense Organs,0
cluster headache,339,Other headache syndromes,Other Headache Syndromes,Diseases Of The Nervous System And Sense Organs,0
guillain barre syndrome,339,Other headache syndromes,Other Headache Syndromes,Diseases Of The Nervous System And Sense Organs,0
multiple sclerosis,340,Multiple sclerosis,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
demyelinating disease,341,Other demyelinating diseases of central nervous system,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
neuromyelitis optica,341,Other demyelinating diseases of central nervous system,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
central nervous system demyelinating disease,341,Other demyelinating diseases of central nervous system,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
hemiplegia,342,Hemiplegia and hemiparesis,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
cerebral palsy,343,Infantile cerebral palsy,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
tropical spastic paraparesis,344,Other paralytic syndromes,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
epilepsy,345,Epilepsy and recurrent seizures,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
seizure disorder,345,Epilepsy and recurrent seizures,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
tonic clonic epilepsy,345,Epilepsy and recurrent seizures,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
status epilepticus,345,Epilepsy and recurrent seizures,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
infantile spasms,345,Epilepsy and recurrent seizures,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
myoclonic seizure,345,Epilepsy and recurrent seizures,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
juvenile myoclonic epilepsy,345,Epilepsy and recurrent seizures,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
lennox gastaut syndrome,345,Epilepsy and recurrent seizures,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
partial seizure,345,Epilepsy and recurrent seizures,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
complex partial seizure,345,Epilepsy and recurrent seizures,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
migraine,346,Migraine,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
migraine with aura,346,Migraine,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
narcolepsy,347,Cataplexy and narcolepsy,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
cataplexy,347,Cataplexy and narcolepsy,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
cerebral edema,348,Other conditions of brain,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
transmissible spongiform encephalopathy,348,Other conditions of brain,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
intracranial hypertension,348,Other conditions of brain,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
pseudotumor cerebri,348,Other conditions of brain,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,1
autonomic nervous system disease,349,Other and unspecified disorders of the nervous system,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
neurological disease,349,Other and unspecified disorders of the nervous system,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
neuropathic pain,349,Other and unspecified disorders of the nervous system,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
peripheral nervous system disease,349,Other and unspecified disorders of the nervous system,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
facial hemiatrophy,349,Other and unspecified disorders of the nervous system,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,0
trigeminal neuralgia,350,Trigeminal nerve disorders,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
facial nerve disease,351,Facial nerve disorders,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
carpal tunnel syndrome,354,Mononeuritis of upper limb and mononeuritis multiplex,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
complex regional pain syndrome,355,Mononeuritis of lower limb,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
neuropathy,356,Hereditary and idiopathic peripheral neuropathy,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
polyneuropathy,356,Hereditary and idiopathic peripheral neuropathy,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
charcot marie tooth type 1 disease,356,Hereditary and idiopathic peripheral neuropathy,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
diabetic neuropathy,357,Inflammatory and toxic neuropathy,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
chronic inflammatory demyelinating polyneuropathy,357,Inflammatory and toxic neuropathy,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
poems syndrome,357,Inflammatory and toxic neuropathy,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
neuromuscular disease,358,Myoneural disorders,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
muscle hypertonia,358,Myoneural disorders,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
lambert-eaton syndrome,358,Myoneural disorders,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
neuromuscular blockade,358,Myoneural disorders,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
muscular dystrophy,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
myopathy,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
duchenne dystrophy,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
myotonic dystrophy,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
myotonic dystrophy type 1,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
myotonic dystrophy type 2,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
limb girdle muscular dystrophy,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
becker muscular dystrophy,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
emery dreifuss muscular dystrophy,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
inclusion body myositis,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
facioscapulohumeral muscular dystrophy,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
sporadic inclusion body myositis,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,0
uveitis,360,Disorders of the globe,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
myopia,360,Disorders of the globe,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
endophthalmitis,360,Disorders of the globe,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
panophthalmitis,360,Disorders of the globe,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
degenerative myopia,360,Disorders of the globe,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
retinoschisis,361,Retinal detachments and defects,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
retinopathy,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
diabetic retinopathy,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
age related macular degeneration,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
retinopathy of prematurity,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
retinal venous occlusion,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
proliferative diabetic retinopathy,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
stargardt disease,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
choroidal neovascularization,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
macular disease,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
macular degeneration,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
macular edema,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
wet age related macular degeneration,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
dry age related macular degeneration,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
usher syndrome ii,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
retinal dystrophy,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
lebers congential amaurosis,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
coats disease,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
vascular eye disease,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
macular telangiectasia 2,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
retinitis,363,"Chorioretinal inflammations, scars, and other disorders of choroid",Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
choroiditis,363,"Chorioretinal inflammations, scars, and other disorders of choroid",Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
choroideremia,363,"Chorioretinal inflammations, scars, and other disorders of choroid",Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
iritis,364,Disorders of iris and ciliary body,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
hyphema,364,Disorders of iris and ciliary body,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
glaucoma,365,Glaucoma,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
ocular hypertension,365,Glaucoma,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
retinitis pigmentosa,365,Glaucoma,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
allergic conjunctivitis,365,Glaucoma,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
open angle glaucoma,365,Glaucoma,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
angle closure glaucoma,365,Glaucoma,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
glaucoma surgical procedure,365,Glaucoma,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
ocular neovascular disorder,365,Glaucoma,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
cataract,366,Cataract,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
presbyopia,367,Disorders of refraction and accommodation,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
vision disorder,368,Visual disturbances,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
nyctalopia,368,Visual disturbances,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
achromatopsia,368,Visual disturbances,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
amblyopia,368,Visual disturbances,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
blindness,369,Blindness and low vision,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
corneal ulcer,370,Keratitis,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
keratitis,370,Keratitis,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
keratoconjunctivitis,370,Keratitis,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
cladophialophora infection,370,Keratitis,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
bacterial eye infection,370,Keratitis,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
corneal disease,371,Corneal opacity and other disorders of cornea,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
corneal dystrophy,371,Corneal opacity and other disorders of cornea,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
keratoconus,371,Corneal opacity and other disorders of cornea,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
corneal opacity,371,Corneal opacity and other disorders of cornea,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
lentigo senilis,371,Corneal opacity and other disorders of cornea,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
conjunctivitis,372,Disorders of conjunctiva,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
conjunctiva disease,372,Disorders of conjunctiva,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
infectious keratoconjunctivitis,372,Disorders of conjunctiva,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
pterygium,372,Disorders of conjunctiva,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
blepharitis,373,Inflammation of eyelids,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
vitiligo,374,Other disorders of eyelids,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
hypotrichosis,374,Other disorders of eyelids,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
ptosis,374,Other disorders of eyelids,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
exophthalmos,376,Disorders of the orbit,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
orbital inflammatory disease,376,Disorders of the orbit,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
optic nerve disorder,377,Disorders of optic nerve and visual pathways,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
papilledema,377,Disorders of optic nerve and visual pathways,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
optic neuritis,377,Disorders of optic nerve and visual pathways,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
mitochondrial optic neuropathy,377,Disorders of optic nerve and visual pathways,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
lebers hereditary optic atrophy,377,Disorders of optic nerve and visual pathways,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
strabismus,378,Strabismus and other disorders of binocular eye movements,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
scleritis,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
vitreous hemorrhage,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
mydriasis,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
miosis,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
vitreous humor disease,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
nystagmus,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
ocular pain,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
asteroid hyalosis,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,0
otitis externa,380,Disorders of external ear,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,0
acute external otitis,380,Disorders of external ear,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,0
