cortellis_condition,icd9,icd9_category,icd9_sub_chapter,icd9_chapter,malignant_not_specified
cerebral edema,348,Other conditions of brain,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,
intracranial hypertension,348,Other conditions of brain,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,
pseudotumor cerebri,348,Other conditions of brain,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,1
metabolic brain disease,348,Other conditions of brain,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,
neurological disease,349,Other and unspecified disorders of the nervous system,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,
facial hemiatrophy,349,Other and unspecified disorders of the nervous system,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,
nervous system development disorder,349,Other and unspecified disorders of the nervous system,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,
central nervous system development disorder,349,Other and unspecified disorders of the nervous system,Other Disorders Of The Central Nervous System,Diseases Of The Nervous System And Sense Organs,
trigeminal neuralgia,350,Trigeminal nerve disorders,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
trigeminal nerve disorder,350,Trigeminal nerve disorders,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
facial nerve disease,351,Facial nerve disorders,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
melkersson-rosenthal syndrome,351,Facial nerve disorders,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
bells palsy,351,Facial nerve disorders,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
vagus nerve disorder,352,Disorders of other cranial nerves,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
olfactory nerve disorder,352,Disorders of other cranial nerves,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
cranial nerve disorder,352,Disorders of other cranial nerves,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
thoracic outlet syndrome,353,Nerve root and plexus disorders,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
phantom limb,353,Nerve root and plexus disorders,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
carpal tunnel syndrome,354,Mononeuritis of upper limb and mononeuritis multiplex,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
nerve compression syndrome,355,Mononeuritis of lower limb,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
causalgia,355,Mononeuritis of lower limb,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
peripheral neuropathy,356,Hereditary and idiopathic peripheral neuropathy,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
neuropathy,356,Hereditary and idiopathic peripheral neuropathy,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
charcot marie tooth type 1 disease,356,Hereditary and idiopathic peripheral neuropathy,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
charcot marie tooth disease,356,Hereditary and idiopathic peripheral neuropathy,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
refsum disease,356,Hereditary and idiopathic peripheral neuropathy,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
charcot marie tooth type x disease,356,Hereditary and idiopathic peripheral neuropathy,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
charcot marie tooth type 4 disease,356,Hereditary and idiopathic peripheral neuropathy,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
charcot marie tooth type 2 disease,356,Hereditary and idiopathic peripheral neuropathy,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
diabetic peripheral neuropathy,357,Inflammatory and toxic neuropathy,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
familial amyloid neuropathy,357,Inflammatory and toxic neuropathy,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
guillain barre syndrome,357,Inflammatory and toxic neuropathy,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
polyneuropathy,357,Inflammatory and toxic neuropathy,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
diabetic neuropathy,357,Inflammatory and toxic neuropathy,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
chronic inflammatory demyelinating polyneuropathy,357,Inflammatory and toxic neuropathy,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
neurotoxicity drug-induced,357,Inflammatory and toxic neuropathy,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
peripheral nervous system disease,358,Myoneural disorders,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
neuromuscular disease,358,Myoneural disorders,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
muscle hypertonia,358,Myoneural disorders,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
lambert-eaton syndrome,358,Myoneural disorders,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
myasthenia gravis,358,Myoneural disorders,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
muscular dystrophy,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
myopathy,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
duchenne dystrophy,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
myotonic dystrophy,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
myotonic dystrophy type 1,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
myotonic dystrophy type 2,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
limb girdle muscular dystrophy,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
becker muscular dystrophy,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
emery dreifuss muscular dystrophy,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
inclusion body myositis,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
facioscapulohumeral muscular dystrophy,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
sporadic inclusion body myositis,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
hereditary inclusion body myositis,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
familial periodic paralysis,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
dystrophy,359,Muscular dystrophies and other myopathies,Disorders Of The Peripheral Nervous System,Diseases Of The Nervous System And Sense Organs,
endophthalmitis,360,Disorders of the globe,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
panophthalmitis,360,Disorders of the globe,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
degenerative myopia,360,Disorders of the globe,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
retinoschisis,361,Retinal detachments and defects,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
retinopathy,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
age related macular degeneration,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
retinopathy of prematurity,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
retinal venous occlusion,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
stargardt disease,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
choroidal neovascularization,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
macular disease,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
macular degeneration,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
macular edema,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
wet age related macular degeneration,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
dry age related macular degeneration,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
retinal dystrophy,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
lebers congential amaurosis,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
coats disease,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
vascular eye disease,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
macular telangiectasia 2,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
retinitis pigmentosa,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
vitelliform macular dystrophy,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
usher syndrome iii,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
retinal edema,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
retinal artery occlusion,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
polypoidal choroidal vasculopathy,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
non-proliferative diabetic retinopathy,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
macular telangiectasia,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
eale disease,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
cone dystrophy,362,Other retinal disorders,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
chorioretinitis,363,"Chorioretinal inflammations, scars, and other disorders of choroid",Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
retinitis,363,"Chorioretinal inflammations, scars, and other disorders of choroid",Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
choroiditis,363,"Chorioretinal inflammations, scars, and other disorders of choroid",Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
choroideremia,363,"Chorioretinal inflammations, scars, and other disorders of choroid",Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
gyrate atrophy,363,"Chorioretinal inflammations, scars, and other disorders of choroid",Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
choroid disease,363,"Chorioretinal inflammations, scars, and other disorders of choroid",Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
uveitis,364,Disorders of iris and ciliary body,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
iritis,364,Disorders of iris and ciliary body,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
hyphema,364,Disorders of iris and ciliary body,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
pupil disorder,364,Disorders of iris and ciliary body,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
iris disease,364,Disorders of iris and ciliary body,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
intermediate uveitis,364,Disorders of iris and ciliary body,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
glaucoma,365,Glaucoma,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
ocular hypertension,365,Glaucoma,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
open angle glaucoma,365,Glaucoma,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
angle closure glaucoma,365,Glaucoma,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
glaucoma surgical procedure,365,Glaucoma,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
diabetic cataract,366,Cataract,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
cataract,366,Cataract,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
myopia,367,Disorders of refraction and accommodation,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
presbyopia,367,Disorders of refraction and accommodation,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
refractive error,367,Disorders of refraction and accommodation,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
hyperopia,367,Disorders of refraction and accommodation,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
astigmatism,367,Disorders of refraction and accommodation,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
anisometropia,367,Disorders of refraction and accommodation,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
vision disorder,368,Visual disturbances,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
nyctalopia,368,Visual disturbances,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
achromatopsia,368,Visual disturbances,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
amblyopia,368,Visual disturbances,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
photophobia,368,Visual disturbances,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
oguchi disease,368,Visual disturbances,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
diplopia,368,Visual disturbances,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
congenital stationary night blindness,368,Visual disturbances,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
color vision defect,368,Visual disturbances,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
blindness,369,Blindness and low vision,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
corneal ulcer,370,Keratitis,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
keratitis,370,Keratitis,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
keratoconjunctivitis,370,Keratitis,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
infectious keratoconjunctivitis,370,Keratitis,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
moorens ulcer,370,Keratitis,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
corneal disease,371,Corneal opacity and other disorders of cornea,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
corneal dystrophy,371,Corneal opacity and other disorders of cornea,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
keratoconus,371,Corneal opacity and other disorders of cornea,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
corneal opacity,371,Corneal opacity and other disorders of cornea,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
corneal edema,371,Corneal opacity and other disorders of cornea,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
allergic conjunctivitis,372,Disorders of conjunctiva,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
conjunctivitis,372,Disorders of conjunctiva,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
conjunctiva disease,372,Disorders of conjunctiva,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
pterygium,372,Disorders of conjunctiva,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
ocular hemorrhage,372,Disorders of conjunctiva,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
hyperemia,372,Disorders of conjunctiva,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
blepharoconjunctivitis,372,Disorders of conjunctiva,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
blepharitis,373,Inflammation of eyelids,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
hordeolum,373,Inflammation of eyelids,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
chalazion,373,Inflammation of eyelids,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
hypotrichosis,374,Other disorders of eyelids,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
ptosis,374,Other disorders of eyelids,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
eyelid disease,374,Other disorders of eyelids,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
dacryocystitis,375,Disorders of lacrimal system,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
hyperlacrimation,375,Disorders of lacrimal system,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
exophthalmos,376,Disorders of the orbit,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
orbital inflammatory disease,376,Disorders of the orbit,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
orbital disease,376,Disorders of the orbit,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
enophthalmos,376,Disorders of the orbit,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
optic nerve disorder,377,Disorders of optic nerve and visual pathways,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
papilledema,377,Disorders of optic nerve and visual pathways,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
optic neuritis,377,Disorders of optic nerve and visual pathways,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
mitochondrial optic neuropathy,377,Disorders of optic nerve and visual pathways,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
lebers hereditary optic atrophy,377,Disorders of optic nerve and visual pathways,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
optic disc pit,377,Disorders of optic nerve and visual pathways,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
strabismus,378,Strabismus and other disorders of binocular eye movements,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
oculomotor nerve disorder,378,Strabismus and other disorders of binocular eye movements,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
ocular motility disorder,378,Strabismus and other disorders of binocular eye movements,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
ocular disease,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
ocular neovascular disorder,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
bacterial eye infection,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
scleritis,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
vitreous hemorrhage,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
mydriasis,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
miosis,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
vitreous humor disease,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
nystagmus,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
ocular pain,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
asteroid hyalosis,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
ocular infection,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
vitreitis,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
uveal disease,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
scleral disease,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
opsoclonus myoclonus syndrome,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
ocular development disorder,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
lens disorder,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
corneal pain,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
aphakia,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs,
otitis externa,380,Disorders of external ear,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,
acute external otitis,380,Disorders of external ear,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,
otorhinolaryngological disease,380,Disorders of external ear,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,
salpingitis,381,Nonsuppurative otitis media and Eustachian tube disorders,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,
otitis media,382,Suppurative and unspecified otitis media,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,
otitis,382,Suppurative and unspecified otitis media,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,
otorhinolaryngological infection,382,Suppurative and unspecified otitis media,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,
mastoiditis,383,Mastoiditis and related conditions,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,
ear disease,385,Other disorders of middle ear and mastoid,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,
middle ear disease,385,Other disorders of middle ear and mastoid,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,
cholesteatoma,385,Other disorders of middle ear and mastoid,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,0
vertigo,386,Vertiginous syndromes and other disorders of vestibular system,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,
meniere disease,386,Vertiginous syndromes and other disorders of vestibular system,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,
labyrinthitis,386,Vertiginous syndromes and other disorders of vestibular system,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,
vestibulocochlear nerve disorder,386,Vertiginous syndromes and other disorders of vestibular system,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,
otosclerosis,387,Otosclerosis,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,
tinnitus,388,Other disorders of ear,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,
inner ear disease,388,Other disorders of ear,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,
presbycusis,388,Other disorders of ear,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,
otorrhea,388,Other disorders of ear,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,
otalgia,388,Other disorders of ear,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,
deafness,389,Hearing loss,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,
hearing disorder,389,Hearing loss,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,
hearing loss,389,Hearing loss,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,
sensorineural hearing loss,389,Hearing loss,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,
noise induced hearing loss,389,Hearing loss,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs,
chorea,392,Rheumatic chorea,Acute Rheumatic Fever,Diseases Of The Circulatory System,
sydenham chorea,392,Rheumatic chorea,Acute Rheumatic Fever,Diseases Of The Circulatory System,
heart valve disease,394,Diseases of mitral valve,Chronic Rheumatic Heart Disease,Diseases Of The Circulatory System,
aortic valve disease,395,Diseases of aortic valve,Chronic Rheumatic Heart Disease,Diseases Of The Circulatory System,
aortic stenosis,396,Diseases of mitral and aortic valves,Chronic Rheumatic Heart Disease,Diseases Of The Circulatory System,
mitral valve stenosis,396,Diseases of mitral and aortic valves,Chronic Rheumatic Heart Disease,Diseases Of The Circulatory System,
aortic valve insufficiency,396,Diseases of mitral and aortic valves,Chronic Rheumatic Heart Disease,Diseases Of The Circulatory System,
tricuspid valve disease,397,Diseases of other endocardial structures,Chronic Rheumatic Heart Disease,Diseases Of The Circulatory System,
tricuspid insufficiency,397,Diseases of other endocardial structures,Chronic Rheumatic Heart Disease,Diseases Of The Circulatory System,
rheumatic heart disease,398,Other rheumatic heart disease,Chronic Rheumatic Heart Disease,Diseases Of The Circulatory System,
hypertension,401,Essential hypertension,Hypertensive Disease,Diseases Of The Circulatory System,
essential hypertension,401,Essential hypertension,Hypertensive Disease,Diseases Of The Circulatory System,
arterial hypertension,401,Essential hypertension,Hypertensive Disease,Diseases Of The Circulatory System,
resistant hypertension,401,Essential hypertension,Hypertensive Disease,Diseases Of The Circulatory System,
nephrosclerosis,403,Hypertensive chronic kidney disease,Hypertensive Disease,Diseases Of The Circulatory System,
renovascular hypertension,405,Secondary hypertension,Hypertensive Disease,Diseases Of The Circulatory System,
liddle syndrome,405,Secondary hypertension,Hypertensive Disease,Diseases Of The Circulatory System,
ischemic heart disease,410,Acute myocardial infarction,Ischemic Heart Disease,Diseases Of The Circulatory System,
myocardial infarction,410,Acute myocardial infarction,Ischemic Heart Disease,Diseases Of The Circulatory System,
infarction,410,Acute myocardial infarction,Ischemic Heart Disease,Diseases Of The Circulatory System,
unstable angina,411,Other acute and subacute forms of ischemic heart disease,Ischemic Heart Disease,Diseases Of The Circulatory System,
coronary thrombosis,411,Other acute and subacute forms of ischemic heart disease,Ischemic Heart Disease,Diseases Of The Circulatory System,
occlusive coronary artery disease,411,Other acute and subacute forms of ischemic heart disease,Ischemic Heart Disease,Diseases Of The Circulatory System,
acute coronary syndrome,411,Other acute and subacute forms of ischemic heart disease,Ischemic Heart Disease,Diseases Of The Circulatory System,
dressler syndrome,411,Other acute and subacute forms of ischemic heart disease,Ischemic Heart Disease,Diseases Of The Circulatory System,
angina,413,Angina pectoris,Ischemic Heart Disease,Diseases Of The Circulatory System,
