cortellis_condition,revised_icd9,icd9,icd9_category,icd9_sub_chapter,icd9_chapter
scleritis,,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs
vitreous hemorrhage,,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs
mydriasis,,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs
miosis,,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs
vitreous humor disease,,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs
nystagmus,,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs
ocular pain,,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs
asteroid hyalosis,,379,Other disorders of eye,Disorders Of The Eye And Adnexa,Diseases Of The Nervous System And Sense Organs
otitis externa,,380,Disorders of external ear,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs
acute external otitis,,380,Disorders of external ear,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs
salpingitis,,381,Nonsuppurative otitis media and Eustachian tube disorders,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs
otitis media,,382,Suppurative and unspecified otitis media,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs
otitis,,382,Suppurative and unspecified otitis media,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs
mastoiditis,,383,Mastoiditis and related conditions,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs
ear disease,,385,Other disorders of middle ear and mastoid,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs
middle ear disease,,385,Other disorders of middle ear and mastoid,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs
vertigo,,386,Vertiginous syndromes and other disorders of vestibular system,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs
meniere disease,,386,Vertiginous syndromes and other disorders of vestibular system,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs
labyrinthitis,,386,Vertiginous syndromes and other disorders of vestibular system,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs
vestibulocochlear nerve disorder,,386,Vertiginous syndromes and other disorders of vestibular system,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs
otosclerosis,,387,Otosclerosis,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs
tinnitus,,388,Other disorders of ear,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs
inner ear disease,,388,Other disorders of ear,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs
deafness,,388,Other disorders of ear,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs
hearing disorder,,389,Hearing loss,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs
hearing loss,,389,Hearing loss,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs
sensorineural hearing loss,,389,Hearing loss,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs
noise induced hearing loss,,389,Hearing loss,Diseases Of The Ear And Mastoid Process,Diseases Of The Nervous System And Sense Organs
chorea,,392,Rheumatic chorea,Acute Rheumatic Fever,Diseases Of The Circulatory System
heart valve disease,,394,Diseases of mitral valve,Chronic Rheumatic Heart Disease,Diseases Of The Circulatory System
aortic valve disease,,395,Diseases of aortic valve,Chronic Rheumatic Heart Disease,Diseases Of The Circulatory System
aortic stenosis,,396,Diseases of mitral and aortic valves,Chronic Rheumatic Heart Disease,Diseases Of The Circulatory System
acute decompensated heart failure,,398,Other rheumatic heart disease,Chronic Rheumatic Heart Disease,Diseases Of The Circulatory System
hypertension,,401,Essential hypertension,Hypertensive Disease,Diseases Of The Circulatory System
essential hypertension,,401,Essential hypertension,Hypertensive Disease,Diseases Of The Circulatory System
arterial hypertension,,401,Essential hypertension,Hypertensive Disease,Diseases Of The Circulatory System
resistant hypertension,,401,Essential hypertension,Hypertensive Disease,Diseases Of The Circulatory System
renovascular hypertension,,405,Secondary hypertension,Hypertensive Disease,Diseases Of The Circulatory System
ischemic heart disease,,410,Acute myocardial infarction,Ischemic Heart Disease,Diseases Of The Circulatory System
myocardial infarction,,410,Acute myocardial infarction,Ischemic Heart Disease,Diseases Of The Circulatory System
infarction,,410,Acute myocardial infarction,Ischemic Heart Disease,Diseases Of The Circulatory System
unstable angina,,411,Other acute and subacute forms of ischemic heart disease,Ischemic Heart Disease,Diseases Of The Circulatory System
coronary thrombosis,,411,Other acute and subacute forms of ischemic heart disease,Ischemic Heart Disease,Diseases Of The Circulatory System
occlusive coronary artery disease,,411,Other acute and subacute forms of ischemic heart disease,Ischemic Heart Disease,Diseases Of The Circulatory System
acute coronary syndrome,,411,Other acute and subacute forms of ischemic heart disease,Ischemic Heart Disease,Diseases Of The Circulatory System
angina,,413,Angina pectoris,Ischemic Heart Disease,Diseases Of The Circulatory System
variant angina pectoris,,413,Angina pectoris,Ischemic Heart Disease,Diseases Of The Circulatory System
coronary artery disease,,414,Other forms of chronic ischemic heart disease,Ischemic Heart Disease,Diseases Of The Circulatory System
coronary atherosclerosis,,414,Other forms of chronic ischemic heart disease,Ischemic Heart Disease,Diseases Of The Circulatory System
embolism,,415,Acute pulmonary heart disease,Diseases Of Pulmonary Circulation,Diseases Of The Circulatory System
lung embolism,,415,Acute pulmonary heart disease,Diseases Of Pulmonary Circulation,Diseases Of The Circulatory System
pulmonary heart disease,,416,Chronic pulmonary heart disease,Diseases Of Pulmonary Circulation,Diseases Of The Circulatory System
pulmonary hypertension,,416,Chronic pulmonary heart disease,Diseases Of Pulmonary Circulation,Diseases Of The Circulatory System
pulmonary artery hypertension,,416,Chronic pulmonary heart disease,Diseases Of Pulmonary Circulation,Diseases Of The Circulatory System
lung disease pulmonary hypertension,,416,Chronic pulmonary heart disease,Diseases Of Pulmonary Circulation,Diseases Of The Circulatory System
chronic thromboembolic pulmonary hypertension,,416,Chronic pulmonary heart disease,Diseases Of Pulmonary Circulation,Diseases Of The Circulatory System
idiopathic pulmonary arterial hypertension,,416,Chronic pulmonary heart disease,Diseases Of Pulmonary Circulation,Diseases Of The Circulatory System
secondary pulmonary arterial hypertension,,416,Chronic pulmonary heart disease,Diseases Of Pulmonary Circulation,Diseases Of The Circulatory System
pericarditis,,420,Acute pericarditis,Other Forms Of Heart Disease,Diseases Of The Circulatory System
bacterial endocarditis,,421,Acute and subacute endocarditis,Other Forms Of Heart Disease,Diseases Of The Circulatory System
infectious endocarditis,,421,Acute and subacute endocarditis,Other Forms Of Heart Disease,Diseases Of The Circulatory System
myocarditis,,422,Acute myocarditis,Other Forms Of Heart Disease,Diseases Of The Circulatory System
myocardial disease,,425,Cardiomyopathy,Other Forms Of Heart Disease,Diseases Of The Circulatory System
hypertrophic cardiomyopathy,,425,Cardiomyopathy,Other Forms Of Heart Disease,Diseases Of The Circulatory System
chagas cardiomyopathy,,425,Cardiomyopathy,Other Forms Of Heart Disease,Diseases Of The Circulatory System
lipotoxic cardiomyopathy,,425,Cardiomyopathy,Other Forms Of Heart Disease,Diseases Of The Circulatory System
dilated cardiomyopathy,,425,Cardiomyopathy,Other Forms Of Heart Disease,Diseases Of The Circulatory System
long qt syndrome,,426,Conduction disorders,Other Forms Of Heart Disease,Diseases Of The Circulatory System
atrioventricular block,,426,Conduction disorders,Other Forms Of Heart Disease,Diseases Of The Circulatory System
heart arrhythmia,,427,Cardiac dysrhythmias,Other Forms Of Heart Disease,Diseases Of The Circulatory System
bradycardia,,427,Cardiac dysrhythmias,Other Forms Of Heart Disease,Diseases Of The Circulatory System
atrial fibrillation,,427,Cardiac dysrhythmias,Other Forms Of Heart Disease,Diseases Of The Circulatory System
atrial flutter,,427,Cardiac dysrhythmias,Other Forms Of Heart Disease,Diseases Of The Circulatory System
ventricular tachycardia,,427,Cardiac dysrhythmias,Other Forms Of Heart Disease,Diseases Of The Circulatory System
ventricular fibrillation,,427,Cardiac dysrhythmias,Other Forms Of Heart Disease,Diseases Of The Circulatory System
cardiac arrest,,427,Cardiac dysrhythmias,Other Forms Of Heart Disease,Diseases Of The Circulatory System
ventricular arrhythmia,,427,Cardiac dysrhythmias,Other Forms Of Heart Disease,Diseases Of The Circulatory System
paroxysmal supraventricular tachycardia,,427,Cardiac dysrhythmias,Other Forms Of Heart Disease,Diseases Of The Circulatory System
cardiac failure,,428,Heart failure,Other Forms Of Heart Disease,Diseases Of The Circulatory System
congestive heart failure,,428,Heart failure,Other Forms Of Heart Disease,Diseases Of The Circulatory System
cardiac edema,,428,Heart failure,Other Forms Of Heart Disease,Diseases Of The Circulatory System
cardiac surgical procedure,,428,Heart failure,Other Forms Of Heart Disease,Diseases Of The Circulatory System
diastolic heart failure,,428,Heart failure,Other Forms Of Heart Disease,Diseases Of The Circulatory System
systolic heart failure,,428,Heart failure,Other Forms Of Heart Disease,Diseases Of The Circulatory System
left heart disease pulmonary hypertension,,428,Heart failure,Other Forms Of Heart Disease,Diseases Of The Circulatory System
cardiovascular disease,,429,Ill-defined descriptions and complications of heart disease,Other Forms Of Heart Disease,Diseases Of The Circulatory System
arteriosclerosis,,429,Ill-defined descriptions and complications of heart disease,Other Forms Of Heart Disease,Diseases Of The Circulatory System
heart disease,,429,Ill-defined descriptions and complications of heart disease,Other Forms Of Heart Disease,Diseases Of The Circulatory System
cardiac hypertrophy,,429,Ill-defined descriptions and complications of heart disease,Other Forms Of Heart Disease,Diseases Of The Circulatory System
brain hemorrhage,,431,Intracerebral hemorrhage,Cerebrovascular Disease,Diseases Of The Circulatory System
cerebral hemorrhage,,431,Intracerebral hemorrhage,Cerebrovascular Disease,Diseases Of The Circulatory System
intracranial hemorrhage,,432,Other and unspecified intracranial hemorrhage,Cerebrovascular Disease,Diseases Of The Circulatory System
carotid stenosis,,433,Occlusion and stenosis of precerebral arteries,Cerebrovascular Disease,Diseases Of The Circulatory System
cerebral infarction,,434,Occlusion of cerebral arteries,Cerebrovascular Disease,Diseases Of The Circulatory System
brain infarction,,434,Occlusion of cerebral arteries,Cerebrovascular Disease,Diseases Of The Circulatory System
ischemic stroke,,434,Occlusion of cerebral arteries,Cerebrovascular Disease,Diseases Of The Circulatory System
ischemia,,435,Transient cerebral ischemia,Cerebrovascular Disease,Diseases Of The Circulatory System
brain ischemia,,435,Transient cerebral ischemia,Cerebrovascular Disease,Diseases Of The Circulatory System
intracranial vasospasm,,435,Transient cerebral ischemia,Cerebrovascular Disease,Diseases Of The Circulatory System
vasospasm,,435,Transient cerebral ischemia,Cerebrovascular Disease,Diseases Of The Circulatory System
cerebrovascular ischemia,,435,Transient cerebral ischemia,Cerebrovascular Disease,Diseases Of The Circulatory System
cerebrovascular disease,,436,"Acute, but ill-defined, cerebrovascular disease",Cerebrovascular Disease,Diseases Of The Circulatory System
aneurysm,,437,Other and ill-defined cerebrovascular disease,Cerebrovascular Disease,Diseases Of The Circulatory System
atherosclerosis,,440,Atherosclerosis,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
restenosis,,440,Atherosclerosis,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
aortic aneurysm,,441,Aortic aneurysm and dissection,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
abdominal aortic aneurysm,,441,Aortic aneurysm and dissection,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
peripheral vascular disease,,443,Other peripheral vascular disease,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
raynauds disease,,443,Other peripheral vascular disease,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
artery disease,,443,Other peripheral vascular disease,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
vascular disease,,443,Other peripheral vascular disease,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
peripheral arterial occlusive disease,,443,Other peripheral vascular disease,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
erythromelalgia,,443,Other peripheral vascular disease,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
thromboangiitis obliterans,,443,Other peripheral vascular disease,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
diabetic angiopathy,,443,Other peripheral vascular disease,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
arterial occlusive disease,,443,Other peripheral vascular disease,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
intermittent claudication,,443,Other peripheral vascular disease,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
vascular occlusive disease,,443,Other peripheral vascular disease,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
thrombotic microangiopathy,,443,Other peripheral vascular disease,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
arterial thrombosis,,444,Arterial embolism and thrombosis,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
kawasaki disease,,446,Polyarteritis nodosa and allied conditions,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
polyarteritis nodosa,,446,Polyarteritis nodosa and allied conditions,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
microangiopathy,,446,Polyarteritis nodosa and allied conditions,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
wegener granulomatosis,,446,Polyarteritis nodosa and allied conditions,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
churg-strauss syndrome,,446,Polyarteritis nodosa and allied conditions,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
temporal arteritis,,447,Other disorders of arteries and arterioles,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
capillary leak syndrome,,448,Disease of capillaries,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
hereditary hemorrhagic telangiectasia,,448,Disease of capillaries,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
nevus,,448,Disease of capillaries,"Diseases Of Arteries, Arterioles, And Capillaries",Diseases Of The Circulatory System
deep vein thrombosis,,453,Other venous embolism and thrombosis,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Diseases Of The Circulatory System
thrombosis,,453,Other venous embolism and thrombosis,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Diseases Of The Circulatory System
budd chiari syndrome,,453,Other venous embolism and thrombosis,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Diseases Of The Circulatory System
varicosis,,454,Varicose veins of lower extremities,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Diseases Of The Circulatory System
varicosis ulcer,,454,Varicose veins of lower extremities,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Diseases Of The Circulatory System
hemorrhoids,,455,Hemorrhoids,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Diseases Of The Circulatory System
bleeding,,456,Varicose veins of other sites,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Diseases Of The Circulatory System
esophagitis,,456,Varicose veins of other sites,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Diseases Of The Circulatory System
varices,,456,Varicose veins of other sites,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Diseases Of The Circulatory System
esophageal varices,,456,Varicose veins of other sites,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Diseases Of The Circulatory System
lymphatic system disease,,457,Noninfectious disorders of lymphatic channels,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Diseases Of The Circulatory System
lymphedema,,457,Noninfectious disorders of lymphatic channels,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Diseases Of The Circulatory System
elephantiasis,,457,Noninfectious disorders of lymphatic channels,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Diseases Of The Circulatory System
lymphangitis,,457,Noninfectious disorders of lymphatic channels,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Diseases Of The Circulatory System
hypotension,,458,Hypotension,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Diseases Of The Circulatory System
orthostatic hypotension,,458,Hypotension,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Diseases Of The Circulatory System
angiogenesis disorder,,459,Other disorders of circulatory system,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Diseases Of The Circulatory System
vein disease,,459,Other disorders of circulatory system,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Diseases Of The Circulatory System
venous insufficiency,,459,Other disorders of circulatory system,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Diseases Of The Circulatory System
cardiac reperfusion injury,,459,Other disorders of circulatory system,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Diseases Of The Circulatory System
vein graft failure,,459,Other disorders of circulatory system,"Diseases Of Veins And Lymphatics, And Other Diseases Of Circulatory System",Diseases Of The Circulatory System
lower respiratory tract infection,,460,Acute nasopharyngitis [common cold],Acute Respiratory Infections,Diseases Of The Respiratory System
common cold,,460,Acute nasopharyngitis [common cold],Acute Respiratory Infections,Diseases Of The Respiratory System
lung inflammation,,460,Acute nasopharyngitis [common cold],Acute Respiratory Infections,Diseases Of The Respiratory System
leptospiraceae infection,,460,Acute nasopharyngitis [common cold],Acute Respiratory Infections,Diseases Of The Respiratory System
acute sinusitis,,461,Acute sinusitis,Acute Respiratory Infections,Diseases Of The Respiratory System
pharyngitis,,462,Acute pharyngitis,Acute Respiratory Infections,Diseases Of The Respiratory System
tonsillitis,,463,Acute tonsillitis,Acute Respiratory Infections,Diseases Of The Respiratory System
laryngitis,,464,Acute laryngitis and tracheitis,Acute Respiratory Infections,Diseases Of The Respiratory System
respiratory tract infection,,465,Acute upper respiratory infections of multiple or unspecified sites,Acute Respiratory Infections,Diseases Of The Respiratory System
lung infection,,465,Acute upper respiratory infections of multiple or unspecified sites,Acute Respiratory Infections,Diseases Of The Respiratory System
upper respiratory tract infection,,465,Acute upper respiratory infections of multiple or unspecified sites,Acute Respiratory Infections,Diseases Of The Respiratory System
respiratory tract inflammation,,465,Acute upper respiratory infections of multiple or unspecified sites,Acute Respiratory Infections,Diseases Of The Respiratory System
laryngopharyngitis,,465,Acute upper respiratory infections of multiple or unspecified sites,Acute Respiratory Infections,Diseases Of The Respiratory System
acute bronchitis,,466,Acute bronchitis and bronchiolitis,Acute Respiratory Infections,Diseases Of The Respiratory System
bronchiolitis,,466,Acute bronchitis and bronchiolitis,Acute Respiratory Infections,Diseases Of The Respiratory System
sinusitis,,473,Chronic sinusitis,Other Diseases Of The Upper Respiratory Tract,Diseases Of The Respiratory System
chronic sinusitis,,473,Chronic sinusitis,Other Diseases Of The Upper Respiratory Tract,Diseases Of The Respiratory System
nasal polyps,,473,Chronic sinusitis,Other Diseases Of The Upper Respiratory Tract,Diseases Of The Respiratory System
adenoid hypertrophy,,474,Chronic disease of tonsils and adenoids,Other Diseases Of The Upper Respiratory Tract,Diseases Of The Respiratory System
peritonsillitis,,475,Peritonsillar abscess,Other Diseases Of The Upper Respiratory Tract,Diseases Of The Respiratory System
otorhinolaryngological infection,,475,Peritonsillar abscess,Other Diseases Of The Upper Respiratory Tract,Diseases Of The Respiratory System
dermatophagoides farinae infection,,477,Allergic rhinitis,Other Diseases Of The Upper Respiratory Tract,Diseases Of The Respiratory System
rhinitis,,477,Allergic rhinitis,Other Diseases Of The Upper Respiratory Tract,Diseases Of The Respiratory System
respiratory tract allergy,,477,Allergic rhinitis,Other Diseases Of The Upper Respiratory Tract,Diseases Of The Respiratory System
allergic rhinitis,,477,Allergic rhinitis,Other Diseases Of The Upper Respiratory Tract,Diseases Of The Respiratory System
perennial allergic rhinitis,,477,Allergic rhinitis,Other Diseases Of The Upper Respiratory Tract,Diseases Of The Respiratory System
seasonal allergic rhinitis,,477,Allergic rhinitis,Other Diseases Of The Upper Respiratory Tract,Diseases Of The Respiratory System
telangiectasis,,478,Other diseases of upper respiratory tract,Other Diseases Of The Upper Respiratory Tract,Diseases Of The Respiratory System
nasal congestion,,478,Other diseases of upper respiratory tract,Other Diseases Of The Upper Respiratory Tract,Diseases Of The Respiratory System
paramyxovirus infection,,480,Viral pneumonia,Pneumonia And Influenza,Diseases Of The Respiratory System
viral pneumonia,,480,Viral pneumonia,Pneumonia And Influenza,Diseases Of The Respiratory System
pneumonia,,481,Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia],Pneumonia And Influenza,Diseases Of The Respiratory System
klebsiella pneumoniae infection,,482,Other bacterial pneumonia,Pneumonia And Influenza,Diseases Of The Respiratory System
streptococcus pneumoniae infection,,482,Other bacterial pneumonia,Pneumonia And Influenza,Diseases Of The Respiratory System
legionella pneumophila infection,,482,Other bacterial pneumonia,Pneumonia And Influenza,Diseases Of The Respiratory System
bacterial pneumonia,,482,Other bacterial pneumonia,Pneumonia And Influenza,Diseases Of The Respiratory System
prevotella infection,,482,Other bacterial pneumonia,Pneumonia And Influenza,Diseases Of The Respiratory System
acinetobacter lwoffii infection,,482,Other bacterial pneumonia,Pneumonia And Influenza,Diseases Of The Respiratory System
streptococcus constellatus infection,,482,Other bacterial pneumonia,Pneumonia And Influenza,Diseases Of The Respiratory System
klebsiella granulomatis infection,,482,Other bacterial pneumonia,Pneumonia And Influenza,Diseases Of The Respiratory System
stenotrophomonas maltophilia infection,,482,Other bacterial pneumonia,Pneumonia And Influenza,Diseases Of The Respiratory System
chlamydia pneumoniae infection,,483,Pneumonia due to other specified organism,Pneumonia And Influenza,Diseases Of The Respiratory System
mycoplasma pneumoniae infection,,483,Pneumonia due to other specified organism,Pneumonia And Influenza,Diseases Of The Respiratory System
fungal pneumonia,,484,Pneumonia in infectious diseases classified elsewhere,Pneumonia And Influenza,Diseases Of The Respiratory System
burkholderia infection,,486,"Pneumonia, organism unspecified",Pneumonia And Influenza,Diseases Of The Respiratory System
influenza virus infection,,487,Influenza,Pneumonia And Influenza,Diseases Of The Respiratory System
influenza virus a infection,,487,Influenza,Pneumonia And Influenza,Diseases Of The Respiratory System
influenza virus b infection,,487,Influenza,Pneumonia And Influenza,Diseases Of The Respiratory System
bronchitis,,491,Chronic bronchitis,Chronic Obstructive Pulmonary Disease And Allied Conditions,Diseases Of The Respiratory System
chronic obstructive pulmonary disease,,491,Chronic bronchitis,Chronic Obstructive Pulmonary Disease And Allied Conditions,Diseases Of The Respiratory System
chronic bronchitis,,491,Chronic bronchitis,Chronic Obstructive Pulmonary Disease And Allied Conditions,Diseases Of The Respiratory System
emphysema,,492,Emphysema,Chronic Obstructive Pulmonary Disease And Allied Conditions,Diseases Of The Respiratory System
asthma,,493,Asthma,Chronic Obstructive Pulmonary Disease And Allied Conditions,Diseases Of The Respiratory System
status asthmaticus,,493,Asthma,Chronic Obstructive Pulmonary Disease And Allied Conditions,Diseases Of The Respiratory System
asthma attack,,493,Asthma,Chronic Obstructive Pulmonary Disease And Allied Conditions,Diseases Of The Respiratory System
chronic obstructive airway disease,,494,Bronchiectasis,Chronic Obstructive Pulmonary Disease And Allied Conditions,Diseases Of The Respiratory System
bronchiectasis,,494,Bronchiectasis,Chronic Obstructive Pulmonary Disease And Allied Conditions,Diseases Of The Respiratory System
extrinsic allergic alveolitis,,495,Extrinsic allergic alveolitis,Chronic Obstructive Pulmonary Disease And Allied Conditions,Diseases Of The Respiratory System
fungal allergy,,495,Extrinsic allergic alveolitis,Chronic Obstructive Pulmonary Disease And Allied Conditions,Diseases Of The Respiratory System
asbestosis,,501,Asbestosis,Pneumoconioses And Other Lung Diseases Due To External Agents,Diseases Of The Respiratory System
empyema,,510,Empyema,Other Diseases Of Respiratory System,Diseases Of The Respiratory System
pleural disease,,511,Pleurisy,Other Diseases Of Respiratory System,Diseases Of The Respiratory System
lung abscess,,513,Abscess of lung and mediastinum,Other Diseases Of Respiratory System,Diseases Of The Respiratory System
pulmonary fibrosis,,516,Other alveolar and parietoalveolar pneumonopathy,Other Diseases Of Respiratory System,Diseases Of The Respiratory System
fibrosis,,516,Other alveolar and parietoalveolar pneumonopathy,Other Diseases Of Respiratory System,Diseases Of The Respiratory System
interstitial lung disease,,516,Other alveolar and parietoalveolar pneumonopathy,Other Diseases Of Respiratory System,Diseases Of The Respiratory System
lymphangioleiomyomatosis,,516,Other alveolar and parietoalveolar pneumonopathy,Other Diseases Of Respiratory System,Diseases Of The Respiratory System
idiopathic pulmonary fibrosis,,516,Other alveolar and parietoalveolar pneumonopathy,Other Diseases Of Respiratory System,Diseases Of The Respiratory System
acute chest syndrome,,517,Lung involvement in conditions classified elsewhere,Other Diseases Of Respiratory System,Diseases Of The Respiratory System
lung disease,,518,Other diseases of lung,Other Diseases Of Respiratory System,Diseases Of The Respiratory System
adult respiratory distress syndrome,,518,Other diseases of lung,Other Diseases Of Respiratory System,Diseases Of The Respiratory System
acute lung injury,,518,Other diseases of lung,Other Diseases Of Respiratory System,Diseases Of The Respiratory System
pulmonary edema,,518,Other diseases of lung,Other Diseases Of Respiratory System,Diseases Of The Respiratory System
respiratory failure,,518,Other diseases of lung,Other Diseases Of Respiratory System,Diseases Of The Respiratory System
respiratory congestion,,519,Other diseases of respiratory system,Other Diseases Of Respiratory System,Diseases Of The Respiratory System
bronchus disease,,519,Other diseases of respiratory system,Other Diseases Of Respiratory System,Diseases Of The Respiratory System
bacterial respiratory tract infection,,519,Other diseases of respiratory system,Other Diseases Of Respiratory System,Diseases Of The Respiratory System
viral respiratory tract infection,,519,Other diseases of respiratory system,Other Diseases Of Respiratory System,Diseases Of The Respiratory System
bronchospasm,,519,Other diseases of respiratory system,Other Diseases Of Respiratory System,Diseases Of The Respiratory System
dental caries,,521,Diseases of hard tissues of teeth,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",Diseases Of The Digestive System
periodontal disease,,523,Gingival and periodontal diseases,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",Diseases Of The Digestive System
gingivitis,,523,Gingival and periodontal diseases,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",Diseases Of The Digestive System
gingiva disease,,523,Gingival and periodontal diseases,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",Diseases Of The Digestive System
pericoronitis,,523,Gingival and periodontal diseases,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",Diseases Of The Digestive System
periodontitis,,523,Gingival and periodontal diseases,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",Diseases Of The Digestive System
arthralgia,,524,"Dentofacial anomalies, including malocclusion","Diseases Of Oral Cavity, Salivary Glands, And Jaws",Diseases Of The Digestive System
temporomandibular joint syndrome,,524,"Dentofacial anomalies, including malocclusion","Diseases Of Oral Cavity, Salivary Glands, And Jaws",Diseases Of The Digestive System
tooth disease,,525,Other diseases and conditions of the teeth and supporting structures,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",Diseases Of The Digestive System
jaw disease,,526,Diseases of the jaws,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",Diseases Of The Digestive System
sialadenitis,,527,Diseases of the salivary glands,"Diseases Of Oral Cavity, Salivary Glands, And Jaws",Diseases Of The Digestive System
